track_id,tags,genre,energy,key,loudness,valence,tempo_x,time_signature,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo_y,mfcc1_mean,mfcc1_variance,mfcc2_mean,mfcc2_variance,mfcc3_mean,mfcc3_variance,mfcc4_mean,mfcc4_variance,mfcc5_mean,mfcc5_variance,mfcc6_mean,mfcc6_variance,mfcc7_mean,mfcc7_variance,mfcc8_mean,mfcc8_variance,mfcc9_mean,mfcc9_variance,mfcc10_mean,mfcc10_variance,mfcc11_mean,mfcc11_variance,mfcc12_mean,mfcc12_variance,mfcc13_mean,mfcc13_variance,mfcc14_mean,mfcc14_variance,mfcc15_mean,mfcc15_variance,mfcc16_mean,mfcc16_variance,mfcc17_mean,mfcc17_variance,mfcc18_mean,mfcc18_variance,mfcc19_mean,mfcc19_variance,mfcc20_mean,mfcc20_variance
TRYAEUK128F425DEF7,"rock, electronic, alternative, indie, pop, indie_rock, psychedelic",Rock,0.763,11,-7.043,0.283,139.995,4,0.43051523,0.08272859,0.2642766,0.0077815047,2324.980470986322,411505.6453712668,-0.000606704,0.032856002,0.0005563034,0.021074206,69.83741554054055,-1.1164464,2598.6133,94.88143,722.24646,-19.101746,394.57367,21.426447,223.61707,0.65480226,109.37263,5.284076,89.42373,3.946981,111.40702,7.287718,58.98911,-2.6506963,64.57377,5.614374,75.054665,-1.466314,55.7552,6.3125563,61.02513,-2.9040797,52.152393,4.673352,68.567375,-2.7651582,62.58909,4.355801,48.073837,-1.3659449,45.940315,3.5378087,55.658215,-4.062737,52.12345,3.14602,56.05718
TRILLIR128F429E5D7,"rock, metal, hard_rock, 80s, heavy_metal, thrash_metal",Rap,0.882,4,-11.176,0.452,96.67,4,0.49210712,0.07258152,0.17680085,0.0005208515,3030.698999839645,102795.20599697708,-4.3483005e-06,0.016284965,0.00010048295,0.0053306017,95.703125,-26.378567,441.61136,45.31561,214.30312,-24.331612,127.87373,58.87183,66.085754,4.8789587,74.20585,21.567146,77.37719,5.6138883,58.73208,15.96505,53.864136,-1.756815,44.213276,6.9342613,45.377285,6.991823,49.265682,5.6348886,46.17066,-4.7879996,41.582382,-1.8570217,39.47397,-6.5372634,41.3482,0.6568689,38.66506,-6.927643,31.430664,3.5764031,38.832447,-4.3067455,41.115826,-4.9144044,38.34087
TRAWNNL128F92F6D75,"rock, alternative, indie, alternative_rock, indie_rock, indie_pop, emo, mellow, chill",Electronic,0.476,2,-12.205,0.611,91.584,4,0.36528024,0.083441876,0.178811,0.0029712343,1924.16476956975,461244.9896153301,-3.921701e-05,0.019954836,-0.0007336584,0.0061869533,92.28515625,-82.29956,2554.5625,114.47933,745.7627,8.414866,169.82263,16.889841,246.88336,0.7686136,116.7143,12.522354,100.725464,-0.5798619,55.412933,1.1859821,59.970238,-4.80938,61.564774,3.9312906,49.474186,-2.0018756,46.21649,2.8239567,53.597668,-6.5924826,48.839413,-3.9042394,44.471615,-7.0906463,37.91151,0.02550327,42.241337,-4.0406923,30.875696,0.55614156,39.95819,-4.4260726,52.822376,-5.015669,41.802353
TRRIHBF128F428192D,"rock, alternative, indie, alternative_rock, indie_rock, love, beautiful, 00s",Rock,0.651,3,-6.492,0.283,102.642,1,0.34304845,0.08250451,0.25120413,0.0020723725,2545.6060592922017,159933.44388199924,2.5475161e-05,0.039219975,0.0009808366,0.009180806,107.666015625,5.7734056,726.584,83.247116,202.75282,-7.941207,147.90715,18.649746,97.86542,7.217223,81.81924,7.469719,65.241356,-2.8560004,61.57209,6.977122,52.243942,-0.40024287,58.314476,1.1280924,79.21955,-1.6210643,66.52044,0.87903506,51.15651,-7.1807904,54.372242,-1.3570522,49.793488,-4.2680273,34.773087,1.0607153,33.12479,-1.6618472,36.883297,2.4039345,37.37063,-3.8060355,49.509872,-2.9660676,45.35829
TRRKODA128F146DE22,"rock, electronic, dance, house, techno, electro, french",Electronic,0.787,7,-5.766,0.598,111.926,4,0.5045788,0.07321386,0.23360577,0.008762187,2852.2198623338795,1019793.7964084328,6.478406e-05,0.030253122,0.0016804131,0.014459258,112.34714673913044,-38.675182,13487.203,65.65145,1374.0814,-18.985538,980.17725,27.77583,256.97427,12.888204,222.3845,12.996081,184.56017,12.20856,121.15326,11.745234,113.50025,4.8475776,66.33919,10.645477,89.794945,-0.122893,53.599266,2.990325,63.68778,1.9265292,48.244873,1.9920073,56.55416,-4.6374903,51.105106,2.6912162,42.1846,-3.4619555,25.551062,0.43485796,47.482536,-2.5803325,40.473846,0.31070408,40.896782
TRAVORG128F9302C75,"rock, pop, female_vocalists, dance",RnB,0.714,2,-4.26,0.738,112.046,4,0.33099276,0.09566604,0.37002894,0.0061835772,2512.5318564274,860880.8158895986,-6.6678385e-06,0.095258504,0.00019422804,0.019124892,112.34714673913044,-0.3269368,6531.534,81.08364,1168.3032,3.2208602,369.98938,34.851658,207.398,8.116003,102.81995,7.3230643,130.478,6.32608,65.67481,7.5704393,61.853184,4.314401,53.44236,7.484201,63.707455,3.697992,55.022137,4.1022263,42.84895,1.1817616,48.702827,0.52530295,50.495968,-3.5274534,58.339264,0.89881516,57.199703,-1.7021,54.92202,1.6500945,58.322174,-0.78629553,92.99033,3.2598624,93.89956
TROJWZI128F42371A6,"rock, alternative, indie, alternative_rock, indie_rock, british, britpop",Blues,0.932,11,-4.043,0.688,168.257,4,0.41471282,0.08398849,0.30938578,0.0029549075,2629.281899805903,375218.5476825573,-4.5194854e-05,0.047238175,-0.0005500614,0.02095596,83.35433467741936,33.339645,572.3166,78.50922,415.20743,-14.208014,200.09752,30.68224,136.06458,2.3385482,87.67141,3.33462,52.959824,-4.3293433,65.234726,9.231389,53.777985,-0.25333968,48.53006,4.0356584,43.34952,-1.909366,42.039448,1.6424035,36.18546,-1.9377626,34.29894,0.91569096,36.376442,-7.274092,27.18053,-2.4048076,28.342716,-5.1311336,29.466038,-1.1257815,32.370464,-5.7452145,35.09615,-3.053503,37.96017
TRINQRE128F42BBAA2,"rock, alternative, indie, alternative_rock, indie_rock, british, 90s, britpop",RnB,0.882,9,-4.727,0.692,103.899,4,0.47333884,0.0683405,0.33671108,0.001008475,2919.7977653895427,200230.1850535696,-3.848447e-07,0.058270615,-7.1613074e-05,0.019066442,103.359375,56.607018,221.26369,61.154522,211.31023,-21.300974,114.83058,41.474968,70.68808,13.075126,47.54417,2.188965,35.562534,4.0367713,62.722523,12.845939,28.190893,-0.18469758,26.733862,7.425496,25.98582,1.1535614,24.523382,6.3987155,25.800135,-8.4864025,24.39014,0.12588756,24.005592,0.46378934,32.752975,4.8486705,39.053295,-0.9372851,29.406794,-1.1155615,26.187288,-3.7241378,24.37568,4.440178,25.785109
TREVGQV128F92F39D6,"rock, alternative, indie, pop, alternative_rock, indie_rock, 90s, american, 00s",Punk,0.809,5,-3.781,0.702,87.891,4,0.4351758,0.08121092,0.2775289,0.00806362,2885.475944968591,434745.3182557268,-6.1371264e-07,0.034485746,-0.00034666312,0.023606306,89.10290948275862,14.132489,1921.0027,68.95827,625.0911,-6.8109694,317.9372,31.762552,301.25967,-1.7564312,91.30567,13.002451,61.804512,1.7422825,101.132065,5.912457,77.2927,-2.1692243,85.67831,4.419188,53.955967,0.3943181,52.83826,5.189074,42.110023,-0.76400626,40.451855,0.6677193,38.48865,-2.987064,32.577248,2.823927,32.12161,-3.697186,37.57905,1.9676669,27.439314,-0.5259118,31.640543,1.5581075,42.188236
TRABCQH128F931525A,"rock, electronic, alternative, indie, pop, alternative_rock, experimental, british, hip_hop, trip_hop",Rap,0.651,10,-14.651,0.656,134.972,4,0.42115626,0.07850365,0.11666416,0.0010714162,1626.265185530917,141563.33539596273,-4.5718557e-06,0.007577473,-2.281329e-05,0.0022097207,89.10290948275862,-106.16691,1397.0486,136.35532,478.73074,-18.866493,229.32355,20.545975,126.35696,-12.009676,125.69858,4.76643,76.84549,-6.676201,69.865204,0.23271269,50.22604,-6.691459,48.783226,-1.9011279,47.277584,-10.762723,44.023106,-0.5465337,31.71609,-0.42845413,42.88266,2.720342,41.588676,-0.70790875,29.011248,4.329827,35.249317,-4.254049,31.406479,0.45479748,29.805033,-6.005173,26.674263,-1.7109649,28.56248
TRYNOSN128F42A2B82,"rock, alternative, pop, alternative_rock, punk, punk_rock, pop_rock",Pop,0.939,1,-3.127,0.893,177.751,4,0.426382,0.08345907,0.3260575,0.0029136674,2425.23886157432,230021.2294987662,1.9795561e-05,0.05839149,-2.485555e-05,0.016951542,89.10290948275862,31.585125,884.0241,89.24866,465.38516,-15.334659,209.04207,26.446081,96.00043,1.2348185,61.81533,13.846589,38.482586,2.061497,44.098877,8.92276,52.551723,3.6683435,44.8313,10.084336,37.167015,0.9750678,51.448566,8.615004,29.047388,-1.8951293,26.767769,1.6360276,26.286547,-2.9471793,27.364918,1.6427423,34.834293,-7.6054735,26.690529,2.8285933,29.803442,-3.2283995,33.109493,1.401599,39.367348
TRCGGXV128F428D866,"rock, female_vocalists, classic_rock, blues, 60s, blues_rock",Country,0.475,2,-11.012,0.663,93.34,4,0.38988826,0.08387079,0.13569875,0.00080272096,2619.2997409246377,244500.36364381269,-1.8343833e-06,0.010353224,-2.1183561e-05,0.0037265038,99.38401442307692,-75.95296,1831.1134,74.26426,561.8718,-3.7507885,450.9356,36.721394,228.93457,3.5857675,104.04613,14.81341,149.40096,6.0982285,80.291145,-0.95673287,116.708496,-3.730592,66.22052,8.733809,108.016205,-8.585566,57.661415,-2.4604132,66.55134,-5.187572,58.976574,0.5005645,68.551735,-6.2896385,60.22738,-0.26368102,76.740456,-5.125915,90.234215,-1.862305,69.050285,-7.5744424,74.939705,-2.6146736,77.39284
TRPWBRV128F148D659,"rock, alternative, metal, alternative_rock, hard_rock, industrial, gothic",Metal,0.873,2,-6.102,0.616,178.1,4,0.5943451,0.055101864,0.3004494,0.0019255083,3001.878535337042,212285.46734552545,2.2518761e-05,0.03473951,-0.00018927225,0.021650607,89.10290948275862,48.10215,412.38467,60.584118,244.99075,-15.101953,229.21977,31.892982,107.77271,11.792431,75.32263,10.944524,61.49439,2.0428705,55.10667,12.375464,68.44754,4.491787,59.185497,7.2110786,38.526405,-0.60214055,45.192684,6.052449,43.80665,0.74326414,35.79409,5.573467,31.55505,0.083732486,28.868029,3.8286784,27.839972,0.22623418,30.684664,1.6232959,25.303299,-2.8915732,25.536953,1.1618743,21.059748
TRUEZTC128F421B117,"rock, alternative, pop, alternative_rock, male_vocalists, 00s, pop_rock",Blues,0.937,4,-3.696,0.968,164.097,4,0.38670143,0.085067,0.309673,0.006474751,2820.08704609496,492234.23762301536,-5.0576946e-06,0.048922013,-0.00033850138,0.023738401,161.4990234375,26.760199,1814.8859,72.85695,631.1738,-4.5237713,249.03249,23.588161,169.05565,0.41697207,101.865685,11.825253,92.02514,-4.344799,72.316795,8.599936,55.354443,-1.0018642,56.853745,3.8397584,38.650074,1.3214742,43.551533,3.4132583,51.59982,-1.4906582,40.11477,2.4652376,37.437374,-2.5227456,37.069275,3.3757536,46.995304,-3.5183582,47.7645,0.77449274,52.683006,-3.9893203,52.66435,2.199461,44.745552
TRABNEX128F92C9DEA,"rock, alternative, indie, alternative_rock, indie_rock, american, 00s",Rock,0.688,9,-12.569,0.207,121.352,4,0.38708064,0.08556409,0.23854831,0.0053344043,1650.28078273818,184163.88054735848,-1.2405761e-05,0.03242942,-0.0002509823,0.017606199,123.046875,-67.32607,2619.0815,122.23655,430.11072,-19.65806,491.81796,51.565815,220.30974,5.616551,66.841125,8.377431,49.518684,-2.4916694,52.313835,3.1228373,69.32622,-0.95965934,51.061104,4.3733425,42.491013,-4.262243,47.79033,5.977597,34.598755,-4.9550977,39.1429,-8.35592,44.47173,-4.143916,49.745346,1.2175777,40.347607,-4.5978303,51.993404,3.6154094,53.044727,2.0377958,43.198093,2.8482804,51.95442
TRXBWCN128F92F6083,"rock, alternative, indie, pop, 90s, german, britpop",Jazz,0.579,5,-6.957,0.895,146.02,4,0.34811124,0.08383836,0.26655492,0.0036829736,2257.880711750636,612120.4803621743,-0.00013158037,0.05085425,-0.00069904997,0.009088199,143.5546875,-30.903826,1268.8279,92.89436,694.7467,5.9330144,257.60953,27.094355,148.8589,4.8029284,108.02371,7.9019747,118.949425,-5.1114492,111.654884,4.8444567,66.789566,-2.8578491,63.232765,5.7990804,55.04257,-0.774984,62.204006,1.1565102,52.722233,-4.904429,55.504513,2.634435,55.68532,-3.7013881,41.414444,1.0312014,42.719933,-4.638479,39.244728,2.9794343,43.35398,-1.6535492,51.89628,0.8540782,47.878998
TRPCUON12903CCC98B,"rock, electronic, alternative, alternative_rock, pop_rock",Rock,0.977,9,-4.543,0.53,110.003,4,0.3539937,0.08706505,0.2839765,0.005892064,2704.447600113,276518.0011537444,-2.612475e-05,0.04546754,-0.00026237607,0.016917704,112.34714673913044,18.315578,979.8282,77.35062,345.07675,-4.0716743,153.96667,21.984674,154.93672,4.228341,52.525234,6.013898,120.25491,-2.715052,121.07176,7.2651315,150.8085,0.7614706,77.3261,9.011203,71.662445,-3.0025604,39.799625,1.3679019,37.88528,-3.8481143,42.76515,0.8312228,32.187244,-1.7874599,57.658287,-0.6528238,45.469772,0.551745,37.676632,0.89752376,47.02566,-2.8548315,45.85517,1.4814175,44.248196
TRUPDNU128F147CBE9,"rock, metal, hard_rock, 80s, heavy_metal, thrash_metal",Metal,0.716,9,-10.14,0.485,111.827,4,0.47849005,0.076975435,0.16267802,0.0013923163,3226.6991915994886,307802.96450798755,4.15409e-06,0.016501628,-7.431319e-05,0.0039905957,112.34714673913044,-43.304905,1149.0621,38.190845,440.17578,-13.0007925,321.81516,49.575386,120.80669,13.625995,58.858154,12.106102,94.18081,7.147287,56.035095,13.59261,74.44438,1.393534,41.619614,9.684511,46.03235,8.386436,52.705864,6.120115,45.375053,-1.5874937,45.0627,-1.66051,46.854397,-8.710072,41.558575,-5.5154347,38.83151,-14.921431,34.316227,-3.0636857,29.095057,-5.4498506,32.57491,-5.3178415,34.77317
TRXSAPP128F424A2B1,"rock, alternative, indie, alternative_rock, indie_rock, progressive_rock, british",Metal,0.304,4,-11.897,0.0899,145.76,4,0.3724645,0.0875737,0.13143396,0.0007351716,1286.1934232734957,243760.77466227376,3.0191943e-06,0.013136737,-0.00010490762,0.0011942356,73.828125,-148.24521,555.1523,143.3097,491.05905,-11.031226,196.15112,38.42393,118.589516,20.754433,83.5178,8.365356,82.477844,3.067542,43.688095,5.646239,69.671425,-4.497454,44.538853,8.267202,64.0245,-8.385722,53.820175,3.3455942,62.462795,-4.5824356,50.218678,0.2727457,40.142365,-2.4904637,43.263783,-0.5279311,38.10912,-4.3830514,39.12293,-1.4291512,34.35733,-4.594768,50.396725,-2.8517997,35.745502
TRXFTLM128F423092D,"rock, electronic, alternative, alternative_rock, progressive_rock, british",Rock,0.861,9,-5.237,0.35,155.063,4,0.38483703,0.08058304,0.28519994,0.0015118092,2560.5832254826028,389385.9846816973,-1.4497269e-05,0.048856698,-0.00024017536,0.01194011,103.359375,5.829833,763.6741,78.90029,284.5811,2.0602298,147.85439,36.151516,75.98347,10.0835705,66.66006,10.446936,34.28213,1.0438018,34.662594,7.409931,33.302963,-0.19244696,31.120274,7.456163,33.9103,-2.8522315,34.99792,3.3340826,36.657627,-5.8806667,39.65223,-1.8047159,31.171352,-2.0457177,33.495544,4.0113454,49.327454,-2.3078809,40.095066,3.5680842,29.173664,-2.316772,38.029434,-0.15314117,49.939976
TRUMFSQ128F92D8942,"rock, classic_rock, folk, singer_songwriter, acoustic, 70s, oldies, mellow",Folk,0.322,5,-10.31,0.404,75.922,1,0.32038373,0.08544301,0.09417387,0.00088753505,1468.4154932354625,514651.8359583346,1.8183489e-07,0.0066390485,-3.166321e-05,0.0010397641,75.99954044117646,-178.83202,2227.8955,138.47299,1108.9779,1.169061,334.38953,27.360971,194.26163,8.529549,156.26419,12.171324,90.53934,-6.39576,86.26029,8.512485,78.61481,-9.947213,83.83463,-0.63182074,81.78239,0.3829377,51.185978,-4.1437416,45.879204,-3.6865404,64.3019,-3.5855823,40.40437,-5.817562,42.93502,-2.4646497,50.865276,-7.512632,39.75712,-1.7989957,53.98388,-4.4879146,39.22482,-3.3516374,44.351242
TRYNOOA128F426F919,"rock, pop, classic_rock, 80s, new_wave",Reggae,0.831,1,-6.05,0.519,129.597,4,0.32671654,0.0800592,0.11067939,0.00044248495,2708.7540821499592,335508.1235744501,-0.00011802621,0.007517312,-0.00067008036,0.002217238,129.19921875,-72.32746,752.2701,73.38836,509.47223,-20.70014,227.60368,30.533094,105.02075,2.0666552,60.264004,0.14661844,70.897835,-11.555204,68.05605,3.0986068,37.47982,-9.083698,53.933376,3.431694,50.448307,-0.61258197,36.751747,3.8643432,42.762566,-6.8217835,53.395214,-3.8924863,39.1345,-7.7618895,43.53358,-3.2776303,38.497574,-9.345328,59.072235,1.1219403,58.38921,-0.2751599,45.77882,1.774745,58.170376
TRDCALN128F42BC549,"rock, alternative, pop, female_vocalists, alternative_rock, punk, punk_rock, pop_rock",Country,0.907,5,-3.66,0.177,185.406,4,0.41959172,0.07666148,0.3461055,0.002215999,2910.9549812872738,358062.711461857,3.490449e-05,0.07184922,0.00035059216,0.018786436,92.28515625,41.042492,336.33554,67.82562,307.7763,-1.5572649,223.63997,31.158783,100.390755,6.0414505,44.83194,8.751174,69.736404,4.662232,53.55013,10.9048395,59.9719,5.33819,43.14906,6.733743,45.92211,-3.8335161,35.619423,6.856162,41.640213,-4.786404,33.11762,6.1415696,29.916,0.53451526,38.533035,8.754126,43.290028,1.2811531,52.697826,5.183645,42.745365,-0.31559768,44.2988,-0.17481329,36.64097
TRBQEKU128F428C1B3,"rock, alternative, 80s, rap, hip_hop",Rap,0.473,8,-9.734,0.549,97.283,4,0.50477403,0.077965565,0.18049876,0.0016565655,3494.504148086268,232574.3625997117,0.00013606733,0.012711164,0.0009399428,0.007837774,95.703125,-13.0787525,955.5269,33.875908,339.65573,-19.237778,294.78488,53.93949,473.6432,-8.370084,168.46785,6.436269,64.006,-9.382241,66.58933,-0.3429094,50.875134,2.5110343,85.57438,12.881379,63.567448,0.62696314,52.507915,-0.2232069,57.09956,-5.641938,60.215813,1.3029644,53.95379,0.15802994,57.137806,5.337626,57.673485,-6.32263,59.09131,2.651436,107.74729,2.0215132,57.12505,0.24932006,49.014687
TRCTEZK128F9309B15,"rock, alternative, indie, experimental, folk, indie_rock, 90s",RnB,0.943,4,-4.086,0.204,136.34,4,0.3572001,0.079877146,0.3029089,0.0011082793,2717.6734266948856,223976.07943297876,0.00011399166,0.05157472,0.00068306766,0.014978371,143.5546875,30.312283,276.39847,76.82958,215.85101,-2.688483,128.7087,31.69364,70.98159,-5.331603,81.43625,7.849877,41.385563,-6.718993,43.652424,9.862916,42.072098,-7.325898,43.23215,7.73182,40.50424,-1.9656472,39.3397,-1.288352,35.2345,-3.8941805,36.5859,-0.38484734,31.728987,-4.464796,28.748531,-0.9191564,26.945688,-8.371066,31.779902,0.056227833,40.52679,-3.2294188,35.61144,-3.66217,35.08436
